Word,Count
the,1897
=,1407
-,816
to,715
of,653
a,644
if,636
in,458
#,428
is,364
for,339
return,329
this,311
def,263
not,252
be,240
and,234
file,226
%,221
sobject,220
an,207
that,204
snapshot,200
''',181
==,181
value,176
it,169
var,168
Function:,166
'''API,165
else:,147
type,140
@return:,136
mode,132
will,130
on,129
@param:,127
from,125
set,123
path,123
all,121
or,118
This,117
dictionary,116
directory,113
key,113
as,113
search_key,111
get,107
search,107
unique,99
),97
use,94
server,91
@keyparam:,90
elif,90
search_type,90
\search_key,\,85
are,84
data,84
files,83
{,82
code,81
name,80
add,79
element,75
},74
dir,73
with,70
by,69
used,68
list,68
context,67
identifier,65
view,65
+,65
\search_type,\,64
string,63
table,63
checkin,62
which,61
\snapshot_code,\,58
version,57
can,57
[/code],57
[code],57
paths,57
..,56
new,56
,55
then,54
Get,52
None,51
user,51
current,51
ticket,50
values,50
check,48
raise,48
whether,48
information,48
class,46
login,46
widget,46
method,45
create,45
info,45
representing,45
\context,\,44
xml,43
import,43
print,43
client,43
specific,43
one,43
returned,42
transaction,42
\"\%s/%s"\\,41
description,41
column,40
The,40
True,39
results,39
flag,39
TACTIC,39
array,39
FIXME:,39
snapshots,39
\file_type='main',\,39
expression,38
pipeline,38
have,38
first,37
If,37
update,37
make,37
naming,37
file_type,37
does,37
should,36
id,36
there,36
so,35
try:,35
methods,35
when,35
\"\\,35
handoff,34
project,33
parent,32
!=,32
\file_type,\,32
any,32
some,32
only,32
group,32
include,32
form,32
pass,31
snapshot_code,31
use_handoff_dir,30
@example:,30
into,30
result,30
\file_path,\,30
defined,30
display,29
attr,29
was,29
function,29
file_path,29
checked,29
we,29
no,29
out,29
project_code,29
already,28
find,28
False,28
A,28
relative,27
);,27
filename,27
may,27
copy,27
do,27
\level_key=None,\,27
columns,26
here,26
resource,26
@return,26
test,26
where,25
metadata,25
object,25
sure,25
It,25
but,25
process,24
\mode,\,24
-1:,24
\data,\,24
sobjects,24
asset,24
determines,24
\(handoff_dir,\,24
exist,24
\metadata={},\,24
title,24
basename)),24
local,24
has,24
\(search_type,\,23
except,23
action,23
search_key):,23
handoff_dir,23
\view,\,23
each,23
containing,22
need,22
time,22
dependency,22
protocol,22
popup,22
remove,22
could,22
insert,22
pairs,22
range,22
single,22
level,21
also,21
state,21
index,21
must,21
move,21
%s',21
base,21
now,21
more,21
full,21
created,21
i,20
client_repo_dir,20
given,20
task,20
just,20
instead,20
exists,20
connection,20
row,20
optional,20
through,20
configuration,20
dependent,20
point,20
http,20
node,19
top,19
at,19
[%s],19
command,19
defaults,19
particular,19
about,19
input,19
size,19
run,19
boolean,19
\dir,\,18
without,18
using,18
identifying,18
source,18
ext,18
context),18
repository,18
home,18
password,18
e:,18
API,18
definition,18
position,18
processes,18
@params,18
//,17
conventions,17
[],17
search_key),17
up,17
specify,17
\class_name,\,16
basename,16
\include_paths=False,\,16
os.name,16
query,16
explicitly,16
color,16
registered,16
number,16
names,16
contains,16
property,16
what,16
\include_paths_dict=False,\,16
versionless,16
trigger,16
fire,16
these,16
upload,16
log,15
TODO:,15
types,15
msg,15
\snapshot_type,\,15
default,15
structure,15
class_name,15
template,15
date,15
added,15
don't,15
sandbox,15
header,15
dict,15
offset,15
www.opensource.org/licenses/mit-license.php,15
order,15
@params:,15
transfer,15
filters,15
'copy':,14
parts,14
contents,14
code),14
level_key,14
\mode=None,\,14
\info={},\,14
\single=False,\,14
\file_range,\,14
\use_id=False,\,14
10,14
name/value,14
media,14
last,14
put,14
Set,14
resulting,14
\name,\,14
Note:,14
Retrieve,14
->,14
my.get_handoff_dir(),14
force,14
doesn't,14
value),14
\parent_key=None,\,14
[optional],14
'main',14
empty,13
found,13
actually,13
needed,13
error,13
scroll,13
either,13
appropriate,13
connector,13
',13
nodes,13
existing,13
child,13
\[%s]"\\,13
message,13
you,13
cell,13
check-in,13
triggers,13
NOTE:,13
\description,\,13
canvas,13
look,13
\metadata,\,13
stored,13
old,12
\%s"\\,12
shots,12
folder,12
\snapshot_type="\file"\,\,12
\description="\No\,12
nothing,12
scale,12
server.add_file(,12
\use_handoff_dir=False,\,12
file_name,12
\filters,\,12
\"\nt"\:\,12
file_paths,12
works,12
file_range),12
\is_current=True,\,12
document,12
column_type,12
search_code),12
options,12
element_name,12
includes,12
refresh,12
revision,12
variable,12
config,12
'move':,12
part,12
\level_key,\,12
value:,12
functionality,12
url,12
specified,12
\'move',\,12
to_path,12
item,12
\['copy',\,12
continue,12
\description"\,\,12
Create,11
web,11
elements,11
match,11
represents,11
different,11
auto,11
uploaded,11
go,11
edit,11
#return,11
note,11
end,11
setting,11
\single,\,11
follows:,11
other,11
\sobject,\,11
\exist,\,11
snapshot_type,11
original,11
1,11
external,11
dependencies,11
snapshot.get_value(attr),11
selected,11
based,11
\include_files=False,\,11
section,11
os.path.exists(dir):,10
represent,10
expanded_paths,10
parameter,10
project_code:,10
adding,10
os.makedirs(handoff_dir),10
\context="\publish"\,\,10
tag,10
determine,10
tree,10
self.assertStatus(200),10
my.protocol,10
qualified,10
checkins,10
None:,10
show,10
script,10
see,10
\"\local"\:\,10
frame_by,10
\"\/tmp/sthpw/etc"\\,10
>,10
tab,10
Add,10
to_dir,10
sets,10
language,10
tactic_<SERVER_OS>-conf.xml,10
except:,10
TacticApiException('Mode,10
api,10
my.server_name,10
undo,10
\"\"\\,10
file.close(),10
available,10
pyasm.common,10
content,10
link,10
\my._expand_paths(file_path,\,10
fully,10
(optional),10
call,10
\is_revision=False,\,10
os.path.basename(path),10
authentication,10
ApiClientCmd,10
connected,10
show_retired,10
\"\C:/sthpw/etc"\\,10
triggers=True):,10
expanded_paths:,10
retired,10
Accept,10
getpass.getuser(),10
Values,10
clear,10
skip,10
left,10
start,10
\use_handoff_dir,\,10
its,10
variables,10
Each,10
work,10
objects,9
assumes,9
commands,9
triggers=True),9
because,9
\args={},\,9
destination,9
location,9
delete,9
moved,9
ranges,9
format,9
else,9
@keyparams:,9
possible,9
Return,9
once,9
functions,9
them,9
operation,9
parse,9
try,9
div,9
changed,9
repo,9
\info,\,9
to_data,9
'code':,9
\"\WARNING:\,9
it's,9
show_retired=False):,9
/,9
file_types,9
too,9
triggers),9
\code,\,9
icon,9
\filters=[],\,9
clone,9
items,9
md5,9
use_id,9
keyword,9
from_data,9
\column,\,9
environment,9
\columns,\,9
\title,\,9
include_paths_dict,8
file_range,8
preallocation,8
event,8
e.__str__())),8
database,8
sync,8
logic,8
os.makedirs(dir),8
snapshot),8
option,8
\'copy',\,8
calculate,8
within,8
reference:,8
callback,8
individual,8
\limit=None,\,8
download,8
interpreter,8
describing,8
\element_name,\,8
\include_paths_dict,\,8
__paths_dict__,8
adjust,8
search_code:,8
\false,\,8
bar,8
instance,8
[%s]:,8
filename),8
build,8
\(dir,filename)\,8
called,8
v,8
name:value,8
\sys.stderr.write("\WARNING:\,8
same,8
www.cherrypy.org/>,8
\show_retired=False,\,8
\description="\"\,\,8
necessary,8
For,8
<,8
\client_repo,\,8
referenced,8
is_revision,8
x,8
generate,8
attribute,8
alter,8
snapshot:,8
debug:,8
\order_bys=[],\,8
\mode='explicit',\,8
'\r\n',8
pipeline_code,8
mode:,8
\"\,\,8
my.login,8
snapshot.get('code'),8
\version=-1,\,8
'move']:,8
'upload':,8
mode_options),8
old_path,8
page,8
\['upload',\,8
output,8
\%(handoff_dir,\,8
\version,\,8
include_files,8
'TOOLS.ACCEPT'),8
load,8
related,8
\include_paths,\,8
B,8
pyasm.biz,8
running,8
\OSError,\,8
subcontext,8
width,8
'%s/%s',8
old_dir,8
include_paths,8
login:,8
\"\%s.tacticrc"\\,8
#if,8
\file_name='',\,8
search_type),8
handle,8
version_padding,8
expanded,8
\type='ref',\,8
cleanup,8
shutil.rmtree(handoff_dir),8
mode_options:,8
connectors,8
is_dir_writeable,8
often,8
false);,8
passed,8
latest,8
breadcrumb,8
mode_options,8
mode),8
having,8
self.accessed_headers.add(key),8
\my.server.eval(my.ticket,\,8
save,8
exact,8
\protocol='client_repo',\,8
map,8
\src_sobject,\,8
request,8
version_expr,8
\offset=None,\,8
\include_full_xml=False,\,8
int(value),8
\use_id,\,7
search_id,7
(,7
due,7
since,7
inserting,7
ie:,7
'show_shelf':,7
args,7
In,7
being,7
\expression,\,7
\project_code,\,7
temp_list:,7
drop,7
padding,7
DEPRECATED,7
starts,7
\case,\,7
break,7
\parent_key,\,7
temp,7
Check,7
done,7
bvr,7
directories,7
returns,7
than,7
arguments,7
useful,7
execute,7
still,7
whose,7
select,7
parent_key,7
Project,7
ability,7
search_type):,7
required,7
login=None):,7
belongs,7
detailed,7
well,7
while,7
key),7
To,7
key):,7
\base_search_type,\,7
axis,7
Tactic,7
y,7
sequence,7
create_icon,7
reset,7
+=,7
[,7
draw,7
attributes,7
python,7
named,7
change,7
store,7
back,7
multiple,7
keep,7
\,7
'''get,7
project_code),7
input_ref,6
keys,6
\repo_mode='client_repo',\,6
Defaults,6
\"\"\)\,6
preallocated,6
\value1,\,6
quoted,6
convention,6
\added"\)\,6
frames,6
very,6
\isinstance(sobject,\,6
groups.google.com/group/cherrypy-users/,6
direcory,6
cells,6
\copy,\,6
specifies,6
\"\0"\*version_padding\,6
my.has_server,6
debug,6
asset_base_dir,6
local_repo,6
\server.insert("\prod/shot"\,\,6
\[('Accept',\,6
sobject.get_search_type(),6
\'web',\,6
argument,6
'------------KM7Ij5cH2KM7Ef1gL6ae0ae0cH2gL6\r\n',6
search_keys,6
kind,6
side,6
\new_paths,\,6
__paths__,6
draggable,6
form-data;,6
kwargs);,6
expr,6
'Content-Disposition:,6
shots'),6
creating,6
case,6
even,6
my.server.get_base_dirs(my.ticket),6
eval(results),6
designated,6
NFS,6
linux_client_repo_dir,6
media:,6
\parent_code,\,6
(%s):,6
selection,6
os.W_OK),6
retrieve,6
\create_icon,\,6
virtual,6
\path,\,6
base_type,6
e.g,6
old_login,6
\attr,\,6
\show_retired,\,6
'local':,6
identify,6
tuple,6
\"\%s/.tactic/etc"\\,6
to_path),6
is_current,6
f,6
el,6
\base_dirs.get("\win32_local_base_dir"\)\,6
order_bys,6
column2:,6
md5_checksum,6
General,6
prod/snapshot_type,6
perspective,6
info={},6
always,6
rows,6
\(column,\,6
element.value,6
separate,6
identified,6
\is_current,\,6
\server.create_snapshot(search_key,\,6
file_range):,6
\is_revision,\,6
dropped,6
ah,6
\'lib',\,6
corresponding,6
\(self.interface(),\,6
\offset,\,6
aborted,6
Use,6
inserts,6
\occurs,\,6
column1:,6
\'client_repo',\,6
count,6
\order_bys,\,6
search_id),6
included,6
recommended,6
\unique=True,\,6
password),6
old_server_name,6
Invoke,6
needs,6
\to_dir="\."\,\,6
\shutil.copy(file_path,\,6
undone,6
(work,6
\server.finish("\10\,6
\range(0,10):\,6
personal,6
might,6
UI,6
\key,\,6
{},6
\from_snapshot_code,\,6
cls.server,6
(default),6
matching,6
associated,6
0:,6
\mode="\copy"\,\,6
*,6
takes,6
'relative',6
line,6
\config,\,6
\include_files,\,6
frame,6
various,6
replace,6
related_process,6
\limit,\,6
\'sandbox',\,6
www.cherrypy.org/changeset/1319,6
\file_group_dict,\,6
m,6
More,6
\'local_repo',\,6
like,6
\"\"\"\\,6
\os.access(dir,\,6
ref,6
descibes,6
lib,6
\server,\,6
final,6
area),6
open,6
assert,6
os_login,6
DEPRECATED:,6
search_code,6
custom,6
my.handoff_dir,6
my.get_home_dir(),6
way,6
reverse,6
uniquely,6
my.project_code,6
pos,6
\texture_cls,\,6
os.path.isdir(dir),6
\child_type,\,6
\columns=[],\,6
server.insert(,6
together,6
f.close(),6
version''',6
server.start('Start,6
they,6
tasks,6
\type,\,6
bottom,6
win32_client_repo_dir,6
\frame_start,\,6
client_repo,6
session,6
'XG%0.3d'%i,6
expected,6
ie,6
server.abort(),6
\snapshot,\,6
'prod/asset',6
job,6
components,6
checking,6
commit,5
register,5
arrow,5
drag,5
redo,5
IE,5
entry,5
trailing,5
break;,5
after,5
logging,5
col_changed,5
temp_list,5
target,5
cannot,5
explict,5
entire,5
\,\,5
'search_type':,5
ignore,5
been,5
cls._get_data(search_key),5
their,5
control,5
-1,5
over,5
most,5
ImportError:,5
fill,5
\',\,5
accepts,5
take,5
fix,5
Draw,5
field,5
Run,5
groups,5
mouse,5
\subcontext=None,\,5
Not,5
main,5
source_path,5
every,5
know,5
inside,5
right,5
desired,5
means,5
assigned,5
schema,5
\found,\,5
following,5
attr.endswith(']'):,5
inplace,5
\dst_sobject,\,5
behavior,5
post,5
checkout,5
project_view,5
hide,5
sobject.get_value(attr),5
\int(index.rstrip("\]"\))\,5
understand,5
1px,5
makes,5
return;,5
outside,5
\process="\publish"\,\,5
0,5
show_retired),5
\default,\,5
class_path,5
'timestamp':,5
\attr.split("\["\)\,5
\However,\,5
os.path.basename(file_path),5
file_naming,5
\exists,\,5
login),5
applied,5
\process,\,5
special,5
later,5
\columns=None,\,5
dynamically,5
order_by,5
if(,5
],5
relates,5
resize,5
Note,5
want,5
Manage,5
interval,5
layout,5
label,5
cookie,5
\ugly,\,5
Environment,5
depot,5
transaction_ticket,5
part),5
No,5
contexts,5
lines,5
search_types,5
values={}),5
rc_login,5
blank,4
\ext.lstrip("\."\)\,4
expects,4
sobject''',4
\"\wb"\)\,4
unless,4
deprectated,4
values={}):,4
os.unlink(old_path),4
deprecated,4
segment,4
\project_code=None,\,4
\bid_start_date=None,\,4
\url,\,4
\web,\,4
\range(frame_start,\,4
app_server,4
intepret,4
rc_ticket,4
\action_options={},\,4
is_dir_writeable:,4
spt.js_log.debug(,4
views,4
os.path.dirname(repo_path),4
return:,4
It's,4
true,4
checksum,4
Optional:,4
return_sobjects),4
deemed,4
'1-5/1',4
leave,4
\["\login"\,"\user"\]:\,4
\mode='upload',\,4
\"\%s/repo"\\,4
good,4
following:,4
'r'),4
element_names),4
(this,4
interface,4
complex,4
\transaction_ticket,\,4
2,4
'',4
creation:,4
repo_mode,4
\to_sandbox_dir=False,\,4
Windows,4
type='ref'),4
\checkin_type="\strict"\,\,4
\lib,\,4
clicked,4
handlers,4
')]),4
columns:,4
z,4
dir_naming,4
vars,4
extra,4
\my.server.create_snapshot(search_key,\,4
4,4
place,4
support,4
Locking,4
program,4
zipfile.is_zipfile(zip_name):,4
\cls.build_search_key(search_type,\,4
project:,4
\set,\,4
true;,4
maximum,4
ext),4
\my.server.checkout(my.ticket,\,4
old_project_code,4
h),4
\column_name,\,4
remember,4
'input_ref',4
\shutil.copy(path,\,4
\writable,\,4
ranges:,4
pkg_resources,4
focus,4
clean,4
z.close(),4
initial,4
transaction_id,4
www.example.com/')]),4
\sandbox,\,4
\Then,\,4
my.upload_file(file_path),4
ignore_files),4
\transaction_id=None,\,4
\recurse=False,\,4
\Container.put("\TacticServerStub"\,\,4
my.set_ticket(ticket),4
\dir_naming='',\,4
'ref',4
retrieved,4
'nt':,4
unige,4
looks,4
updated,4
\Xml.get_attribute(column,"\name"\)\,4
path2,4
next,4
rename,4
@param,4
create_snapshot(),4
prevents,4
Simple,4
\transaction_ticket=None,\,4
td,4
reusing,4
\search_keys,\,4
os.path.exists(to_dir):,4
construct,4
\bid_end_date=None,\,4
mode='client_repo'):,4
www.nedbatchelder.com/code/modules/coverage.html,4
arg),4
\"\%s?project=%s"\\,4
file.write(,4
my.execute(),4
is_revision=False,4
www.cherrypy.org/ticket/790,4
Search,4
\copied,\,4
\"\Removing\,4
\"\project"\:\,4
Convenience,4
delivered,4
www.example.test')]),4
\(to_dir,\,4
html,4
missing,4
plugin,4
\snapshot_type="\sequence"\,\,4
ExpressionParser(),4
much,4
\to_snapshot_code,\,4
dictionaries,4
By,4
search_type.startswith('sthpw/'):,4
os.path.exists(repo_dir):,4
\mkdir=True,\,4
\"\prod/asset"\\,4
1),4
\"\./my_model.ma"\\,4
to_paths,4
%s:%s/xmlrpc/',4
initialize,4
queue,4
treat,4
children,4
copied,4
\include_parent=False,\,4
existent,4
'note':,4
backwards,4
\download"\\,4
response,4
\upload,\,4
os.path.exists(dir),4
column='code'),4
project_code=project_code),4
files:,4
\checkin_cls='pyasm.checkin.FileCheckin',\,4
shot,4
sobject.commit(),4
representation,4
\%s."\\,4
Calendar,4
<win32_client_repo_dir>T:/assets</win32_client_repo_dir>,4
os.path.dirname(__file__),4
repo_path,4
\server.add_config_element(search_type,\,4
\"\Your\,4
frame_end,4
\"\)\,4
\os.chmod(handoff_dir,\,4
limit,4
Environment.get_login(),4
\snapshot_type="\directory"\,\,4
\filename='',\,4
hierarachy,4
\frame_end+1,\,4
\search_type.startswith("\sthpw/"\):\,4
starting,4
HTML,4
f.readline().strip(),4
\pipeline_code=None,\,4
\display_options={},\,4
include_full_xml,4
folders,4
loaded,4
'__main__':,4
form:,4
\given,\,4
operations,4
\shutil.copytree(dir,\,4
\vars={},\,4
ignored,4
\class_name=None,\,4
optimize,4
Version,4
\file_type="\main"\,\,4
rc_server,4
md5_checksum):,4
finish(),4
parent:,4
\tag='main',\,4
\getpass.getpass("\Enter\,4
reference,4
checkbox,4
beginning,4
\text/html,\,4
cherrypy.log('Match,4
\expand_paths=False,\,4
default_login,4
'model',4
eval(files),4
recorded,4
\login,\,4
\open(to_path,\,4
\my.server.add_file(my.ticket,\,4
value2,4
buffer,4
documentation,4
zipfile,4
downloaded,4
mkdir,4
Test,4
\message,\,4
\"\@SOBJECT(sthpw/file)"\,\,4
\file_paths,\,4
0777),4
%(,4
\include_full_xml,\,4
rel_path,4
my.server,4
\my._md5_check(to_path,\,4
projects.amor.org/misc/wiki/ModPythonGateway,4
\raw_input("\Enter\,4
(in,4
\open(path,\,4
(True|False),4
__file__.split('.zip'),4
\mode='client_repo',\,4
2.6,4
session_xml,4
upload_server_url,4
TACTIC's,4
\element.value,\,4
client_repo_dir:,4
file.get('file_name')),4
cherrypy.serving.request,4
\file_range.split("\-"\)\,4
ignore_files=False):,4
texture,4
grandparent,4
refer,4
'boolean':,4
snapshot_code):,4
upon,4
):,4
\file.get('relative_dir'),\,4
executed,4
SearchType):,4
web:,4
\search_keys=[],\,4
Container,4
\"\prod/shot"\,\,4
tag='main'):,4
\create_icon=True,\,4
\(client_repo_dir,\,4
\frame_end,\,4
sub,4
os.path.basename(dir),4
categorize,4
sp,4
\Xml.xpath(node,"\column"\)\,4
recurse,4
\breadcrumb=False,\,4
implementation,4
tag),4
hard,4
completion,4
\element_attrs={},login=None,\,4
h,4
--,4
from_type,4
\(old_dir,\,4
rel_path),4
Do,4
password:,4
server.get_path_from_snapshot(snapshot.get('code')),4
'context':,4
\"\Mozilla/5.0"\'\,4
graph,4
sobject's,4
entity,4
logged,4
acceptable,4
tagged,4
\file_name,\,4
\distinct=None,\,4
Level,4
Some,4
distinct,4
context):,4
'.zip',4
base_dirs,4
file_type),4
occurs,4
expressions,4
(get,4
click,4
\i,\,4
file_type:,4
\g,\,4
\server.build_search_key(search_type,\,4
package,4
create_resource_paths(),4
There,4
'%s.zip'%parts[0],4
file_name),4
\download(my,\,4
version.strip(),4
media[0],4
extension,4
zipfile.ZipFile(zip_name),4
Update,4
temp_dir,4
Forces,4
server),4
hierarchical,4
Execute,4
www.cherrypy.org/ticket/421,4
\self.getPage("\/headerelements/get_elements?headername=Accept"\,\,4
os.path.exists(old_path):,4
\bid_duration=None,\,4
forces,4
\shutil.move(path,\,4
\"\_"\);\,4
Matches,4
defines,4
NOT,4
%0.4d,4
ensure,4
hierarchy,4
\my.server.simple_checkin(my.ticket,\,4
\'roto',\,4
\shutil.move(file_path,\,4
os.makedirs(repo_dir),4
\auto_unique_name=False,\,4
hit,4
\base,\,4
\description=None,\,4
100,4
\action_class_name=None,\,4
proper,4
www.cherrypy.org/ticket/533,4
why,4
repo_dir,4
regard,4
\client,\,4
\context_index_padding=None,\,4
filedata,4
rc_project,4
for(,4
md5_list,4
__file__:,4
gets,4
\shutil.move(dir,\,4
\array,\,4
arbitrary,4
client_api_version,4
self.PORT),4
zip_name,4
frame_by):,4
\my.server.query(my.ticket,\,4
\keep_file_name=False,\,4
